Spotify;Titol;Cantant;Any;Tipus
spotify:track:7a53HqqArd4b9NF4XAmlbI;Kings & Queens;Ava Max;2020;Temacles
spotify:track:6N7gPTru90HYLRUIVDQ185;More Than This;Roxy Music;1982;Temacles
spotify:track:5ubvP9oKmxLUVq506fgLhk;Stayin Alive;Bee Gees;2020;Temacles
spotify:track:0lnxrQAd9ZxbhBBe7d8FO8;MMMBop;Hanson;1997;Temacles
spotify:track:7wUKRQMHG0fI3DBzi6Tp29;Baila el Chiki Chiki;Rodolfo Chikilicuatre, Tata Golosa;2017;Temacles
spotify:track:6lV2MSQmRIkycDScNtrBXO;Airplanes (feat. Hayley Williams of Paramore);B.o.B, Hayley Williams;2010;Temacles
spotify:track:748mdHapucXQri7IAO8yFK;Kiss Me More (feat. SZA);Doja Cat, SZA;2021;Temacles
spotify:track:1mJYIA1fwPgw40Kp9KIouE;No Rompas Mi Corazón;Coyote Dax;2001;Temacles
spotify:track:0dIj0bpkfkKpcYYa5ehaRS;Historias de amor;OBK;1991;Temacles
spotify:track:64X1Hzn8aqjFpiVfWjCGsp;Borriquito;Peret;1990;Temacles
spotify:track:4wJNcICQAv1ZNj8tkoMJab;Yo no soy esa;Mari Trini;1971;Temacles
spotify:track:6YUTL4dYpB9xZO5qExPf05;Summer;Calvin Harris;2014;Temacles
spotify:track:49X0LAl6faAusYq02PRAY6;Lady - Hear Me Tonight;Modjo;2001;Temacles
spotify:track:1sTsuZTdANkiFd7T34H3nb;Human;The Killers;2008;Temacles
spotify:track:7vu0JkJh0ldukEYbTVcqd0;Issues;Julia Michaels;2017;Temacles
spotify:track:294ii3rwz6bTJ2XMn5BDu0;Sugar Baby Love;The Rubettes;1990;Temacles
spotify:track:7J0niAY0FLzGiCVJUREl88;Escuela de Calor;Radio Futura;1984;Temacles
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT;Wannabe;Spice Girls;1996;Temacles
spotify:track:1q9l6c8bAzqWcvO3DM6FsR;I Don't Feel Like Dancin';Scissor Sisters;2006;Temacles
spotify:track:2X1P55Lrz0g5X2OQd8n4c9;María Caipirinha (with Dj Dero);Carlinhos Brown, DJ Dero;2011;Temacles
spotify:track:59eAcAyhYSLi5GKFrgHJzG;Faith;George Michael;1998;Temacles
spotify:track:2yAVzRiEQooPEJ9SYx11L3;Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio;Eiffel 65, Gabry Ponte;1999;Temacles
spotify:track:0weAUscowxeqDtpCgtbpgp;Gettin' Jiggy Wit It;Will Smith;1997;Temacles
spotify:track:4V4P2sg9GaTttNn3mRnTDB;Nada Que Perder;Conchita;2007;Temacles
spotify:track:1GcVa4jFySlun4jLSuMhiq;Angie - Remastered 2009;The Rolling Stones;1973;Temacles
spotify:track:6sHBvzRsuGunQTfCk18KXi;Bailando por Ahi;Juan Magán;2012;Temacles
spotify:track:5QDLhrAOJJdNAmCTJ8xMyW;Dynamite;BTS;2020;Temacles
spotify:track:3xec1BelrzOd6v0o8HRd2l;El Jardín Prohibido;Sandro Giacobbe;2016;Temacles
spotify:track:4nTduFjaTmGysc9WKNuCcs;Vida de Rico;Camilo;2021;Temacles
spotify:track:0NJC0FDCODpPUntRTTQq97;Cryin';Aerosmith;1993;Temacles
spotify:track:2BTSWfjaTMYWCxhmVRhqLK;Mr. Saxobeat;Alexandra Stan;2016;Temacles
spotify:track:3P3pw6C19j31Rnzgo3JG7o;Perfect Strangers;Jonas Blue, JP Cooper;2018;Temacles
spotify:track:3rdAz1fbUfZxYgaCviYhRo;Todo De Ti;Rauw Alejandro;2021;Temacles
spotify:track:4KcH1ZRV2W1q7Flq0QqC76;Blitzkrieg Bop - 2016 Remaster;Ramones;1976;Temacles
spotify:track:2HHtWyy5CgaQbC7XSoOb0e;Eye of the Tiger;Survivor;1982;Temacles
