URI;CanÃ§Ã³;IntÃ¨rpret;Any de publicaciÃ³
spotify:track:3lKZf71jeNi14udIFPJ29V;I Knew You Were Trouble.;Taylor Swift;2012
spotify:track:6kISMRfweKSvgHR0urMQFG;We Are Never Ever Getting Back Together;Taylor Swift;2012
spotify:track:6F5c58TMEs1byxUstkzVeM;Roar;Katy Perry;2013
spotify:track:2vwlzO0Qp8kfEtzTsCXfyE;Wrecking Ball;Miley Cyrus;2013
spotify:track:1u8c2t2Cy7UBoG4ArRcF5g;Blank Space;Taylor Swift;2014
spotify:track:1u8c2t2Cy7UBoG4ArRcF5g;Blank Space;Taylor Swift;2014
spotify:track:0cqRj7pUJDkTCEsJkx8snD;Shake It Off;Taylor Swift;2014
spotify:track:3ek4HgBlmvkTWgfT5sTSe9;Drive;Halsey;2015
spotify:track:41Fflg7qHiVOD6dEPvsCzO;Fifth Harmony, Kid Ink;Worth It;2015
spotify:track:37f4ITSlgPX81ad2EvmVQr;Fight Song;Rachel Platten;2015
spotify:track:1Yk0cQdMLx5RzzFTYwmuld;Hello;Adele;2015
spotify:track:0Cy7wt6IlRfBPHXXjmZbcP;Love Me Like You Do;Ellie Goulding;2015
spotify:track:6xsEAm6w9oMQYYg3jkEkMT;Bad Blood;Taylor Swift, Kendrick Lamar;2015
spotify:track:0puf9yIluy9W0vpMEUoAnN;Ariana Grande, Nicki Minaj;Side To Side;2016
spotify:track:27SdWb2rFzO6GWiYDBTD9j;Cheap Thrills;Sia;2016
spotify:track:4tCtwWceOPWzenK2HAIJSb;Fifth Harmony, Ty Dolla $ign;Work from Home;2016
spotify:track:6g0Orsxv6glTJCt4cHsRsQ;Formation;BeyoncÃ©;2016
spotify:track:6qn9YLKt13AGvpq9jfO8py;Rihanna, Calvin Harris;This Is What You Came For;2016
spotify:track:72TFWvU3wUYdUuxejTTIzt;Rihanna, Drake;Work;2016
spotify:track:0ErK6K0kYr0Ow2RkPMhmMs;Shout Out to My Ex;Little Mix;2016
spotify:track:1rfofaqEpACxVEHIZBJe6W;Camila Cabello, Young Thug;Havana;2017
spotify:track:1P17dC1amhFzptugyAO7Il;Look What You Made Me Do;Taylor Swift;2017
spotify:track:2ekn2ttSfGqwhhate0LSR0;New Rules;Dua Lipa;2017
spotify:track:0jdny0dhgjUwoIp5GkqEaA;Praying;Kesha;2017
spotify:track:0Qh38w01QRXK6KHIv0e3hb;What About Us;P!nk;2017
spotify:track:5OCJzvD7sykQEKHH7qAC3C;God is a woman;Ariana Grande;2018
