Pagina_QR,Spotify_URI,Info_Canco
63,https://www.youtube.com/watch?v=o0hfokUH2AQ,Bourbon | 1987
63,https://www.youtube.com/watch?v=rRvTAgpUzzE,Loca | 1989
63,https://www.youtube.com/watch?v=j9PjBhJLTc0,Aire | 1980
63,https://www.youtube.com/watch?v=alJgdP95MS4,No detectat
63,https://www.youtube.com/watch?v=kNd-kSzYhtQ,No detectat
63,https://www.youtube.com/watch?v=VhONov4s3c8,No detectat
63,https://www.youtube.com/watch?v=GrPRnesaK_U,No detectat
63,https://www.youtube.com/watch?v=P8ZVAdjPqCw,No detectat
63,https://www.youtube.com/watch?v=Te-ToMmuYxk,No detectat
63,https://www.youtube.com/watch?v=YMlDlM7lvO0,No detectat
63,https://www.youtube.com/watch?v=uPDinybeh_g,No detectat
65,https://www.youtube.com/watch?v=Fy9u2qZxEV0,Eloise | 1987
65,https://www.youtube.com/watch?v=S3AgdWPlkTg,Alcohol | 1980
65,https://www.youtube.com/watch?v=5MV5Kvz565o,Amigas | 1989
65,https://www.youtube.com/watch?v=NPJzlfxVbXU,La Lola | 1999
65,https://www.youtube.com/watch?v=E1LFNhpgK74,recreo | 1992
65,https://www.youtube.com/watch?v=VhdOwDe-Pgg,No detectat
65,https://www.youtube.com/watch?v=oZPoHbEEmnU,No detectat
65,https://www.youtube.com/watch?v=F1lf6kJzQWM,No detectat
65,https://www.youtube.com/watch?v=JnCPLzz9620,No detectat
65,https://www.youtube.com/watch?v=ccsUjRhpo_U,No detectat
65,https://www.youtube.com/watch?v=KgjfPcjWkyg,No detectat
65,https://www.youtube.com/watch?v=cmmJ1uiRiUM,No detectat
67,https://www.youtube.com/watch?v=UojBaKX5Vz4,Se Fue | 1994
67,https://www.youtube.com/watch?v=JmP89cIGJZM,Conocido | 2024
67,https://www.youtube.com/watch?v=g-GBiuujmL8,Toda | 1993
67,https://www.youtube.com/watch?v=DAIxrSvq6bo,Penélope | 1969
67,https://www.youtube.com/watch?v=sKoK3XnTd3g,by Rodolfo | Chikilicuatre
67,https://www.youtube.com/watch?v=MgsdDfdGdHc,No detectat
67,https://www.youtube.com/watch?v=vpolmSs8LZc,No detectat
67,https://www.youtube.com/watch?v=wfeCIvOxXBo,No detectat
67,https://www.youtube.com/watch?v=KLLXSejOmsc,No detectat
67,https://www.youtube.com/watch?v=hH3hGuSK7PM,No detectat
