Spotify;Títol;Artista;Any;Pel·lícula
spotify:track:528QhCT2v3HgD71RmrSUNW;Goldeneye;Tina Turner;1995;Goldeneye
spotify:track:6g2BiiVQqY5v1S4HIrM54F;Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack;Rodrigo Amarante;2018;Tuyo (Narcos Theme) [Extended Version] [A Netflix Original Series Soundtrack]
spotify:track:3ZSf1TJZyRb0rnWYuUtdX4;Main Title;John Williams, London Symphony Orchestra;1977;Star Wars: A New Hope (Original Motion Picture Soundtrack)
spotify:track:3gDPjU8URd9mtZhBBYwI2R;As Time Goes By;Dooley Wilson;2012;Casablanca (1942 Film Score)
spotify:track:3GCdLUSnKSMJhs4Tj6CV3s;"All The Stars (with SZA) - From ""Black Panther: The Album""";Kendrick Lamar, SZA;2018;Black Panther The Album Music From And Inspired By
spotify:track:0kwuKfWntoGh0EWyYb7Mpf;Stranger Things;Kyle Dixon & Michael Stein;2016;Stranger Things, Vol. 1 (A Netflix Original Series Soundtrack)
spotify:track:32GikG80Mgfp4pQaI5LgjC;"Night Fever - From ""Saturday Night Fever"" Soundtrack";Bee Gees;2009;The Ultimate Bee Gees
spotify:track:6kvoHl80mfCVTv7XnZkjQn;"It Must Have Been Love - From the Film ""Pretty Woman""";Roxette;1990;It Must Have Been Love
spotify:track:2fmqPLRFdJNPhLU3b2NSFp;Glory (From the Motion Picture Selma);Common, John Legend;2014;Glory (From the Motion Picture Selma)
spotify:track:4RW7EZi7SHSLRwvn1Q8Mqj;The Heart Asks Pleasure First;Michael Nyman;1993;The Piano: Music From The Motion Picture
spotify:track:6XQHlsNu6so4PdglFkJQRJ;"City Of Stars - From ""La La Land"" Soundtrack";Ryan Gosling, Emma Stone;2016;La La Land (Original Motion Picture Soundtrack)
spotify:track:5llCIz1U9DoI03Hit31wna;2001 a Space Odyssey;A Space Odyssey;2020;2001 a Space Odyssey
spotify:track:2cji350vUbvxQ9QwyL5Nkp;Theme from the Walking Dead;Bear McCreary;2017;The Walking Dead (Original Television Soundtrack)
spotify:track:1zSkHrYVRdpDH8FwYjI9mD;"Theme - From ""Platoon""";Georges Delerue;2001;Great Composers: Georges Delerue
spotify:track:0Ai8kxhieTjlqrdHBz9ZPC;"Listen (From the Motion Picture ""Dreamgirls"")";Beyoncé;2006;Dreamgirls (Music from the Motion Picture)
spotify:track:5fnOrhQ4KgT5irGCjIccGH;Arthur's Theme (Best That You Can Do);Christopher Cross;2008;Arthur - The Album [Original Soundtrack]
spotify:track:1oo7pneuUHUEKdbH0TgiGc;Seinfeld Theme;Jonathan Wolff;1989;Seinfeld (Original Television Soundtrack)
